iter	Passed	Remaining
0	63	63905
1	65	32698
2	67	22384
3	69	17319
4	71	14144
5	72	11998
6	74	10497
7	75	9359
8	77	8482
9	78	7808
10	80	7217
11	81	6735
12	83	6338
13	85	5998
14	86	5712
15	88	5459
16	90	5218
17	91	4995
18	93	4816
19	95	4687
20	97	4537
21	99	4410
22	100	4274
23	102	4170
24	104	4060
25	105	3958
26	107	3862
27	108	3774
28	110	3713
29	113	3659
30	114	3582
31	116	3509
32	117	3442
33	118	3379
34	120	3332
35	122	3273
36	124	3231
37	125	3184
38	127	3141
39	128	3092
40	130	3053
41	132	3025
42	134	2993
43	136	2959
44	137	2924
45	139	2899
46	141	2869
47	143	2836
48	145	2817
49	147	2794
50	148	2771
51	150	2749
52	152	2718
53	153	2694
54	155	2671
55	156	2639
56	158	2619
57	159	2596
58	161	2576
59	163	2559
60	165	2541
61	166	2520
62	168	2500
63	170	2490
64	171	2472
65	173	2459
66	175	2440
67	177	2430
68	178	2414
69	180	2401
70	182	2387
71	183	2371
72	185	2353
73	186	2338
74	188	2324
75	189	2301
76	191	2292
77	193	2281
78	194	2269
79	196	2255
80	197	2244
81	200	2243
82	202	2233
83	203	2219
84	205	2207
85	206	2196
86	208	2183
87	209	2173
88	211	2162
89	213	2157
90	215	2150
91	216	2141
92	218	2131
93	219	2120
94	221	2109
95	223	2108
96	225	2100
97	227	2092
98	230	2093
99	231	2086
100	233	2077
101	234	2067
102	236	2061
103	238	2053
104	239	2043
105	241	2038
106	243	2032
107	245	2023
108	246	2017
109	248	2009
110	250	2003
111	252	2003
112	254	1996
113	256	1989
114	257	1983
115	259	1977
116	260	1968
117	262	1964
118	264	1957
119	265	1950
120	267	1944
121	269	1938
122	271	1933
123	272	1926
124	274	1921
125	276	1918
126	278	1910
127	280	1909
128	281	1902
129	283	1895
130	285	1892
131	287	1887
132	288	1881
133	289	1873
134	291	1869
135	293	1864
136	295	1858
137	297	1856
138	298	1851
139	300	1846
140	302	1840
141	303	1835
142	305	1830
143	307	1826
144	309	1822
145	310	1818
146	312	1815
147	314	1809
148	316	1805
149	317	1799
150	319	1793
151	320	1789
152	322	1784
153	323	1778
154	325	1774
155	327	1770
156	329	1769
157	331	1765
158	332	1759
159	334	1755
160	336	1752
161	337	1747
162	339	1744
163	341	1741
164	343	1737
165	345	1736
166	347	1731
167	348	1726
168	350	1722
169	351	1717
170	353	1714
171	354	1708
172	357	1706
173	359	1705
174	361	1704
175	363	1700
176	364	1696
177	366	1692
178	368	1690
179	369	1685
180	371	1680
181	373	1676
182	374	1673
183	376	1670
184	378	1666
185	379	1662
186	381	1658
187	383	1655
188	384	1651
189	386	1647
190	387	1642
191	389	1639
192	391	1637
193	393	1635
194	395	1632
195	396	1627
196	398	1624
197	400	1621
198	402	1619
199	403	1615
200	405	1611
201	408	1611
202	410	1609
203	411	1606
204	413	1602
205	414	1598
206	416	1595
207	418	1591
208	419	1588
209	421	1585
210	423	1583
211	424	1579
212	426	1575
213	428	1572
214	429	1568
215	430	1564
216	432	1560
217	434	1557
218	436	1557
219	438	1554
220	440	1552
221	442	1550
222	443	1547
223	445	1543
224	447	1540
225	448	1537
226	450	1533
227	451	1529
228	453	1527
229	455	1523
230	457	1521
231	458	1518
232	460	1516
233	462	1513
234	464	1510
235	465	1507
236	467	1504
237	468	1500
238	470	1497
239	472	1494
240	473	1491
241	475	1488
242	476	1484
243	478	1481
244	480	1480
245	482	1477
246	483	1474
247	485	1472
248	486	1468
249	488	1465
250	489	1462
251	491	1458
252	493	1455
253	495	1454
254	497	1452
255	498	1449
256	500	1446
257	502	1444
258	503	1441
259	505	1440
260	507	1437
261	509	1434
262	510	1431
263	512	1428
264	514	1425
265	516	1425
266	518	1422
267	519	1419
268	521	1416
269	523	1414
270	524	1411
271	526	1409
272	528	1406
273	529	1403
274	530	1399
275	532	1396
276	534	1393
277	535	1390
278	537	1388
279	538	1385
280	540	1384
281	542	1380
