Position,Driver,Team,Points
1,O. Piastri,McLaren,25
2,L. Norris,McLaren,18
3,C. Leclerc,Ferrari,15
4,M. Verstappen,Red Bull,12
5,G. Russell,Mercedes,10
6,A. Albon,Williams,8
7,L. Hamilton,Ferrari,6
8,L. Lawson,RB,4
9,G. Bortoleto,Kick Sauber,2
10,P. Gasly,Alpine,1
11,O. Bearman,Haas,0
12,N. Hülkenberg,Kick Sauber,0
13,Y. Tsunoda,Red Bull,0
14,L. Stroll,Aston Martin,0
15,E. Ocon,Haas,0
16,A.K. Antonelli,Mercedes,0
17,F. Alonso,Aston Martin,0
18,C. Sainz Jr.,Williams,0
19,F. Colapinto,Alpine,0
20,I. Hadjar,RB,0
